,year,gross,genre
511,1956,93.74,Adventure
512,1967,24.38,Drama
513,1993,36.95,Crime
514,1960,30.0,Adventure
515,1995,0.52,Animation
516,1922,,Fantasy
517,2000,128.08,Action
518,2013,8.11,Drama
519,2008,2.12,Drama
520,2008,26.24,Drama
521,1938,3.98,Action
522,1965,111.72,Drama
523,1979,30.18,Comedy
524,1993,4.5,Crime
525,1963,13.47,Comedy
526,1976,70.6,Drama
527,2013,1.01,Drama
528,1970,61.7,Biography
529,1956,,Crime
530,1934,,Comedy
531,1969,12.06,Action
532,1956,,Adventure
533,1951,8.0,Drama
534,2014,2.63,Action
535,2002,53.71,Action
536,2018,3.31,Crime
537,2000,4.18,Crime
538,1933,10.0,Adventure
539,2011,44.67,Comedy
540,1962,,Drama
541,1946,10.46,Drama
542,1983,20.61,Comedy
543,1971,,Comedy
544,2019,,Adventure
545,2016,3.24,Comedy
546,1951,7.63,Crime
547,1993,1.32,Drama
548,1994,2.2,Crime
549,2012,6.74,Drama
550,1948,,Crime
551,1946,6.54,Crime
552,1986,0.3,Drama
553,1944,,Comedy
554,1970,0.54,Drama
555,2017,1.53,Action
556,1968,22.28,Biography
557,2004,,Drama
558,1940,,Comedy
559,1950,,Comedy
560,2002,9.36,Drama
561,2004,0.24,Crime
562,1958,17.57,Drama
563,1967,,Biography
564,1944,4.36,Drama
565,1973,0.58,Comedy
566,1953,,Crime
567,1959,0.09,Drama
568,2019,5.57,Drama
569,1980,,Drama
570,2010,4.02,Adventure
571,1950,,Drama
572,1945,,Crime
573,2003,1.79,Comedy
574,2009,0.11,Drama
575,1970,0.37,Crime
576,2014,0.1,Drama
577,1945,9.46,Drama
578,1947,2.65,Comedy
579,1925,0.05,Drama
580,2007,1.19,Drama
581,2000,1.22,Crime
582,1941,,Adventure
583,2003,0.5,Drama
584,1958,0.11,Crime
585,1961,,Drama
586,2001,1.06,Comedy
587,1946,0.3,Drama
588,2005,,Comedy
589,2009,0.01,Comedy
590,1939,,Comedy
591,2018,1.66,Comedy
592,2019,2.27,Biography
593,2018,,Comedy
594,2016,,Action
595,2007,0.41,Comedy
596,2015,,Action
597,2023,,Action
598,2017,188.37,Action
599,2022,369.35,Action
600,2022,72.86,Action
601,2005,38.41,Drama
602,2011,35.06,Action
603,2019,108.1,Drama
604,2004,81.0,Drama
605,1984,238.63,Action
606,2015,70.26,Biography
607,1986,70.14,Comedy
608,2019,36.47,Action
609,1993,56.51,Biography
610,1985,45.88,Comedy
611,2022,,Action
612,2017,176.04,Horror
613,1987,59.74,Action
614,2019,7.0,Biography
615,2011,102.52,Crime
616,2015,54.12,Crime
617,1993,183.88,Action
618,2013,15.32,Comedy
619,2017,18.1,Drama
620,1971,4.0,Family
621,2012,303.0,Adventure
622,2022,14.5,Action
623,2007,23.64,Action
624,2014,32.38,Crime
625,2007,50.93,Drama
626,2021,,Comedy
627,2016,47.7,Drama
628,2006,50.87,Action
629,2010,96.96,Biography
630,2016,532.18,Action
631,1987,76.27,Crime
632,2006,59.89,Comedy
633,2016,169.61,Biography
634,1993,32.42,Comedy
635,1989,118.5,Adventure
636,2015,936.66,Action
637,2012,45.51,Comedy
638,2016,408.08,Action
639,2000,115.65,Biography
640,1993,17.27,Crime
641,2008,127.51,Drama
642,2012,304.36,Action
643,2007,,Drama
644,2000,233.63,Adventure
645,1969,44.79,Drama
646,2008,145.0,Action
647,2013,258.37,Adventure
648,2022,,Drama
649,1990,61.28,Drama
650,2007,130.16,Biography
651,1964,102.27,Comedy
652,2015,161.2,Biography
653,2003,111.11,Action
654,2013,107.1,Action
655,2014,259.77,Action
656,2016,5.88,Comedy
657,2010,93.62,Action
658,2002,121.66,Action
659,2014,222.53,Animation
660,2009,5.01,Drama
661,1990,52.1,Biography
662,2010,0.13,Action
663,2018,32.02,Animation
664,1991,57.5,Crime
665,2021,34.54,Animation
666,2022,,Action
667,2005,119.52,Biography
668,2005,25.51,Action
669,2006,2.28,Adventure
670,1944,,Crime
671,2008,35.74,Biography
672,2009,10.1,Crime
673,2013,0.09,Crime
674,1973,0.06,Adventure
675,1974,4.42,Drama
676,1989,26.83,Biography
677,1999,28.97,Biography
678,1988,34.6,Crime
679,1979,106.26,Drama
680,1993,22.95,Drama
681,2017,40.44,Adventure
682,2016,5.2,Adventure
683,1982,2.5,Comedy
684,1989,,Animation
685,2014,,Biography
686,1973,16.06,Crime
687,2014,177.0,Animation
688,1978,5.1,Horror
689,1976,31.8,Western
690,1968,0.09,Horror
691,1951,,Drama
692,1978,,Drama
693,1983,21.5,Adventure
694,1996,4.04,Drama
695,1999,32.48,Biography
696,1979,37.82,Drama
697,1994,5.89,Biography
698,2006,13.76,Action
699,1955,,Drama
700,1984,34.7,Biography
701,1964,72.0,Drama
702,2005,5.13,Biography
703,1972,42.77,Drama
704,2008,,Action
705,1995,,Animation
706,1989,14.74,Biography
707,1979,45.7,Comedy
708,2007,9.44,Drama
709,2002,0.18,Crime
710,1932,0.63,Drama
711,2017,6.74,Animation
712,1939,,Adventure
713,1964,0.03,Drama
714,1931,,Drama
715,1975,,Adventure
716,2015,0.44,Drama
717,1999,8.26,Comedy
718,1993,5.62,Animation
719,1972,,Action
720,1986,40.08,Comedy
721,1943,,Film-Noir
722,1993,,Animation
723,2009,2.22,Drama
724,1967,56.7,Comedy
725,1944,,Adventure
726,1935,4.36,Drama
727,1948,,Drama
728,2009,2.08,Crime
729,1940,0.3,Comedy
730,1961,2.62,Horror
731,1972,0.2,Comedy
732,1938,,Comedy
733,2001,1.0,Animation
734,1950,,Crime
735,2013,4.23,Drama
736,2016,0.26,Drama
737,1989,,Action
738,1960,,Drama
739,2004,3.64,Comedy
740,1994,21.85,Biography
741,2013,0.28,Drama
742,1989,18.25,Comedy
743,1938,4.66,Comedy
744,2001,0.19,Animation
745,2003,0.13,Animation
746,2011,0.14,Crime
747,2004,2.92,Drama
748,1933,,Comedy
749,1962,,Drama
750,1997,0.0,Action
751,2016,0.29,Animation
752,1935,2.54,Comedy
753,2012,1.67,Comedy
754,2012,0.17,Comedy
755,2017,,Comedy
756,2022,,Drama
757,2018,220.16,Action
758,1971,15.63,Action
759,1985,61.5,Adventure
760,2022,,Comedy
761,2015,46.89,Action
762,2005,290.01,Adventure
763,2022,,Drama
764,2009,277.32,Comedy
765,2003,44.59,Comedy
766,2007,33.08,Crime
767,2010,295.98,Adventure
768,2017,33.8,Crime
769,1992,141.34,Drama
770,2014,128.26,Action
771,2009,75.29,Animation
772,1989,92.82,Comedy
773,2001,183.42,Crime
774,1980,83.4,Comedy
775,2001,108.64,Action
776,2013,2.2,Drama
777,2002,54.23,Action
778,2009,32.39,Comedy
779,1992,75.51,Action
780,1986,8.55,Crime
781,1974,119.5,Comedy
782,1996,56.12,Crime
783,1990,285.76,Comedy
784,2012,132.09,Comedy
785,2014,25.44,Drama
786,2004,77.91,Action
787,1993,9.17,Drama
788,1972,7.06,Adventure
789,2001,76.63,Action
790,2005,83.04,Drama
791,2011,56.82,Comedy
792,1982,47.21,Action
793,2013,228.78,Action
794,2010,200.82,Animation
795,1997,48.32,Drama
796,2009,0.0,Drama
797,2014,257.76,Animation
798,2020,,Drama
799,1999,0.03,Action
800,2001,13.62,Drama
801,2013,274.09,Drama
802,1978,47.0,Horror
803,2000,45.51,Adventure
804,2011,146.41,Action
805,2014,42.34,Comedy
806,1993,77.32,Drama
807,1997,148.48,Comedy
