,tconst_x,titleType,primaryTitle,startYear,genre_1,genre_2,genre_3,tconst_y,averageRating,numVotes,wr
1058267,tt10163896,movie,Konglish,2020,Drama,,,tt3064582,7.3,45.0,7.08
1059801,tt10166648,movie,Fair Haven,2020,Comedy,Drama,Romance,tt3078754,6.1,67.0,7.01
1060049,tt10167116,movie,The Marked,2020,Drama,Sci-Fi,,tt3079538,7.3,12.0,7.07
1060218,tt10167422,movie,Voices in the Wind,2020,Drama,,,tt30803279,8.8,36.0,7.13
1060456,tt10167850,movie,The Heights a Perfect Reunion,2020,Drama,,,tt30816878,7.0,6.0,7.07
1060914,tt10168672,movie,The Players,2020,Comedy,,,tt3084110,7.5,24.0,7.08
1062708,tt10171876,movie,Chop Chop,2020,Crime,Horror,Thriller,tt3097352,8.9,9.0,7.08
1062723,tt10171904,movie,Aggie,2020,Documentary,,,tt30974263,8.5,13.0,7.08
1062977,tt10172366,movie,Prince Volodymyr the Great,2020,Biography,Documentary,,tt30989146,7.0,10.0,7.07
1063317,tt10172986,movie,Psychopomp,2020,Horror,Thriller,,tt31015577,9.9,111.0,7.35
1065240,tt10176540,movie,Force to Fear,2020,Action,Horror,Thriller,tt3111312,7.6,10.0,7.07
1065254,tt10176564,movie,The Hero's Journey to the 3rd Pole,2020,Documentary,,,tt31113593,5.8,6.0,7.06
1065453,tt10176944,movie,Fille du vent,2020,Drama,,,tt3112236,2.2,5.0,7.04
1065662,tt10177344,movie,Werner Gruber,2020,Thriller,,,tt31131605,4.0,66.0,6.88
1066204,tt10178386,movie,No Man's Truth,2020,Crime,Drama,Mystery,tt3116786,7.8,11.0,7.07
1068148,tt10181900,movie,The Adopted One,2020,Thriller,,,tt3129692,5.2,73.0,6.94
1069207,tt10183816,movie,Dangerous Lies,2020,Crime,Mystery,Thriller,tt3139148,9.4,51.0,7.18
1069239,tt10183870,movie,Yaponskiy Bog,2020,Drama,,,tt31392798,6.0,11.0,7.05
1071218,tt10187378,movie,Lamb of God,2020,Drama,,,tt31521992,7.9,124.0,7.16
1071389,tt10187680,movie,Forensic,2020,Crime,Mystery,Thriller,tt31531764,9.0,6.0,7.08
1072419,tt10189514,movie,Soorarai Pottru,2020,Drama,,,tt31616600,5.3,47.0,6.99
1074159,tt10192566,movie,Alone,2020,Drama,Horror,Thriller,tt3176600,7.5,20.0,7.07
1074224,tt10192682,movie,Through The Bloody Mists Of Time,2020,Documentary,,,tt3177344,7.2,143.0,7.08
1074424,tt10193064,movie,Khorfakkan,2020,History,,,tt3179220,4.8,8.0,7.05
1075369,tt10194710,movie,We Have Your Kids,2020,Crime,,,tt3185776,3.9,60.0,6.89
1075666,tt10195248,movie,Alexander,2020,Drama,,,tt3188048,4.5,410.0,6.32
1076134,tt10196086,movie,Contradict,2020,Documentary,Music,,tt31922527,6.3,247.0,6.91
1076305,tt10196398,movie,Bye Bye Morons,2020,Comedy,Drama,,tt3194498,6.5,8.0,7.06
1076329,tt10196440,movie,Finding Yingying,2020,Documentary,,,tt31946594,7.0,5.0,7.07
1076372,tt10196516,movie,Off the Road,2020,Documentary,,,tt31947549,5.6,7.0,7.06
1076402,tt10196578,movie,Reel 2,2020,Horror,,,tt31948772,10.0,12.0,7.1
1076978,tt10197570,movie,The Tree Movie,2020,Drama,,,tt31976731,6.9,40.0,7.06
1077245,tt10198064,movie,The Love Between Us,2020,Drama,Romance,,tt3199306,6.5,97.0,7.02
1077250,tt10198072,movie,Don't Let Them In,2020,Horror,Mystery,,tt3199326,7.3,760.0,7.17
1077364,tt10198274,movie,Mia's M.I.A,2020,Drama,Thriller,,tt32011883,7.2,29.0,7.07
1078223,tt10199854,movie,The Last Roll,2020,Comedy,,,tt32059408,9.1,16.0,7.1
1078255,tt10199914,movie,The Boys in the Band,2020,Drama,,,tt3206164,7.0,17.0,7.06
1078285,tt10199974,movie,Pareeksha,2020,Drama,,,tt3206456,7.6,33.0,7.08
1078602,tt10200522,movie,Once Upon a Time in Indonesia,2020,Action,Crime,Drama,tt32089685,7.3,59.0,7.08
1079034,tt10201328,movie,Chaco,2020,Drama,War,,tt3211408,8.8,11.0,7.08
1080378,tt10203788,movie,The Council,2020,Crime,,,tt3220652,7.6,5.0,7.07
1080772,tt10204512,movie,The Inheritance,2020,Horror,Mystery,Thriller,tt32230926,7.0,81.0,7.06
1080911,tt10204756,movie,La volta buona,2020,Drama,,,tt3224228,6.4,47.0,7.04
1081050,tt10204998,movie,Bruh.mp4,2020,Comedy,Thriller,,tt32253016,8.2,6.0,7.07
1081071,tt10205046,movie,Stealing Chaplin,2020,Drama,,,tt32253999,6.2,6.0,7.06
1081253,tt10205358,movie,The Pageant,2020,Documentary,,,tt32269619,7.9,18.0,7.08
1081517,tt1020581,movie,The Method,2020,Drama,Mystery,Romance,tt3229046,8.8,34.0,7.12
1082105,tt10206818,movie,The Voice of Sin,2020,Crime,Drama,Thriller,tt3233718,7.9,429.0,7.32
1082534,tt10207588,movie,Floripes,2020,Biography,Documentary,,tt32378180,6.9,8.0,7.06
1084345,tt10210882,movie,Broken Poet,2020,Music,,,tt3255940,7.4,308.0,7.14
1085764,tt10213380,movie,Manor House,2020,Drama,History,,tt3275738,5.2,15.0,7.04
1086287,tt10214316,movie,Some Southern Waters,2020,Mystery,Thriller,,tt3281858,7.2,97.0,7.08
1086386,tt10214496,movie,The Donut King,2020,Animation,Documentary,,tt3283218,8.4,95.0,7.18
1086526,tt10214754,movie,Luca,2020,Crime,Drama,Thriller,tt3284522,7.5,8.0,7.07
1086737,tt10215134,movie,Nothing But the Sun,2020,Documentary,,,tt3288500,7.7,10.0,7.07
1088075,tt10217460,movie,Longe do Paraíso,2020,Drama,Thriller,,tt3307286,6.7,7.0,7.06
1088795,tt10218878,movie,The Dinner,2020,Drama,,,tt3316960,7.5,143768.0,7.5
1088810,tt10218912,movie,As I Am,2020,Drama,Fantasy,Romance,tt3317158,3.2,476.0,5.82
1091212,tt10223168,movie,The Purser,2020,Fantasy,,,tt3350414,8.7,538.0,7.64
1091474,tt10223644,movie,Under the Weather,2020,Drama,,,tt3355106,7.3,32.0,7.07
1091594,tt10223876,movie,Paranormal Attraction,2020,Horror,,,tt3356668,8.2,19.0,7.09
1092399,tt10225420,movie,The Universe in Which I Loved You,2020,Comedy,,,tt3370812,7.0,184.0,7.06
1092567,tt10225726,movie,Unit 23,2020,Action,Comedy,,tt3375242,7.7,12.0,7.07
1094184,tt10228546,movie,"Love Me, Love Me Not",2020,Drama,Romance,,tt3394260,4.1,21.0,7.01
1094720,tt10229550,movie,The Devils Heist,2020,Horror,,,tt3401658,3.6,28.0,6.97
1094723,tt10229558,movie,The Dark and the Wicked,2020,Horror,,,tt3401716,6.6,10.0,7.06
1094842,tt10229794,movie,Paapam Cheyyathavar Kalleriyatte,2020,Comedy,,,tt3403492,7.3,279.0,7.12
1094857,tt10229824,movie,The Mindfulness Movement,2020,Documentary,,,tt3403564,7.2,15.0,7.07
1094915,tt10229932,movie,Becoming Mona,2020,Drama,,,tt3404170,7.1,8.0,7.07
1094944,tt10229982,movie,My First Summer,2020,Drama,Romance,,tt3405340,7.3,101.0,7.09
1094957,tt10230010,movie,Sparks,2020,Drama,Romance,,tt3405576,7.0,170.0,7.06
1095096,tt10230258,movie,M.I.S.T.E.R (Made It Surviving Through Extreme Reality),2020,Crime,Drama,,tt3408006,6.2,7.0,7.06
1095116,tt10230290,movie,Matares,2020,Drama,,,tt3408692,9.0,7.0,7.08
1095181,tt10230404,movie,Ghost Stories,2020,Horror,Thriller,,tt3409540,5.8,6.0,7.06
1095187,tt10230414,movie,Serious Men,2020,Comedy,Drama,,tt3409640,4.5,314.0,6.45
1095192,tt10230422,movie,Class of '83,2020,Action,Crime,Drama,tt3409790,6.3,10.0,7.06
1095194,tt10230426,movie,Mrs. Serial Killer,2020,Crime,Drama,Thriller,tt3409804,7.7,19.0,7.08
1095200,tt10230436,movie,Yeh Ballet,2020,Drama,Musical,,tt3409906,8.2,12.0,7.08
1095233,tt10230492,movie,Still Today,2020,Comedy,Romance,,tt3410230,7.3,10.0,7.07
1095279,tt10230576,movie,Only Human,2020,Drama,,,tt3410834,5.7,134754.0,5.71
1095993,tt10231822,movie,"Run Wolf, Run",2020,Drama,Thriller,,tt3420996,7.8,135.0,7.15
1096919,tt10233406,movie,Les blagues de Toto,2020,Comedy,Family,,tt3437378,7.4,5.0,7.07
1097288,tt10234084,movie,Little Orphans,2020,Drama,,,tt3442102,7.9,14.0,7.08
1097399,tt10234310,movie,5 Girls,2020,Documentary,,,tt3443692,7.9,16.0,7.08
